Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Scared,16.031220,14.142136,19.416488,17.464249,58.180753,54.918121,24.504565,9.154000ms,
Scared,13.000000,12.000000,19.235384,16.552945,56.603887,51.623638,27.967398,9.276000ms,
Happy,7.071068,7.000000,18.439089,18.384776,51.400389,47.518417,33.998889,9.421000ms,
Happy,6.082763,8.000000,19.646883,19.313208,50.606324,45.541190,37.453645,9.592000ms,
Happy,6.000000,6.082763,20.880613,18.027756,51.855569,45.705580,37.478723,9.717000ms,
Happy,4.123106,6.000000,20.880613,18.973666,50.606324,45.541190,37.491785,9.867000ms,
Happy,6.082763,5.000000,20.396078,18.384776,50.606324,47.518417,38.454039,10.019000ms,
Happy,5.099020,6.000000,20.615528,18.973666,51.224994,45.398238,36.961836,10.162000ms,
Happy,5.099020,5.099020,20.880613,18.681542,52.009614,45.705580,37.490319,10.299000ms,
Happy,5.099020,5.000000,21.587033,18.973666,50.000000,46.389654,36.960655,10.444000ms,
Happy,5.385165,6.000000,20.396078,19.313208,49.819675,44.553339,36.916428,10.567000ms,
Happy,5.099020,5.099020,20.396078,18.384776,51.400389,47.381431,36.435991,10.710000ms,
Happy,5.099020,5.385165,19.416488,18.788294,51.400389,45.398238,34.953652,10.850000ms,
Happy,6.082763,6.082763,20.396078,19.697716,52.201533,48.507731,34.998955,10.972000ms,
Happy,5.000000,7.000000,21.840330,19.313208,55.470713,51.478151,35.493240,11.128000ms,
Scared,6.000000,6.000000,19.646883,19.313208,58.309519,56.435804,35.493240,11.291000ms,
Happy,6.082763,6.000000,21.587033,19.313208,53.535035,50.635956,34.434676,11.445000ms,
Scared,8.062258,8.000000,20.615528,18.384776,57.306195,56.568542,34.492963,11.572000ms,
Happy,7.071068,8.000000,20.615528,17.464249,53.535035,52.773099,33.968170,11.722000ms,
Scared,8.000000,8.000000,21.587033,18.027756,56.938563,54.918121,34.936697,11.873000ms,
Scared,7.000000,7.000000,21.587033,18.384776,57.801384,55.731499,35.936217,11.998000ms,
Scared,8.062258,7.000000,22.803509,18.027756,59.363288,55.578773,34.973024,12.148000ms,
Scared,8.000000,7.000000,20.396078,17.464249,55.758407,53.600373,34.973024,12.308000ms,
Scared,8.062258,8.000000,21.377558,17.720045,59.682493,58.855756,35.467480,12.476000ms,
Happy,7.000000,7.000000,19.646883,18.384776,53.851648,51.623638,34.490528,12.625000ms,
Scared,9.000000,8.000000,23.537205,18.027756,62.265560,59.539903,34.983444,12.767000ms,
Surprised,7.000000,7.000000,21.377558,17.088007,59.169249,54.589376,34.454955,12.923000ms,
Scared,8.000000,8.000000,22.561028,17.720045,60.901560,59.682493,34.478571,13.055000ms,
Angry,4.123106,4.123106,17.464249,14.317821,43.278170,37.656341,35.472423,13.203000ms,
Angry,5.000000,5.000000,15.132746,13.000000,41.231056,35.440090,33.909836,13.324000ms,
Angry,6.082763,5.000000,16.124515,11.704700,43.600459,33.526109,36.986050,13.443000ms,
Angry,7.000000,6.324555,14.035669,11.704700,40.459857,30.364453,42.522470,13.560000ms,
Angry,6.082763,6.082763,14.000000,12.083046,41.231056,30.675723,45.048850,13.705000ms,
Angry,6.082763,6.082763,15.132746,11.401754,40.360872,30.675723,42.525854,13.831000ms,
Angry,7.071068,6.000000,15.132746,10.770330,40.360872,31.016125,44.592594,13.955000ms,
Angry,6.000000,6.082763,13.000000,10.440307,41.109610,29.732137,42.660766,14.104000ms,
Angry,6.000000,6.082763,14.000000,11.401754,39.051248,30.675723,43.662014,14.241000ms,
Angry,6.082763,5.099020,13.152946,11.401754,38.948684,31.953091,42.139757,14.362000ms,
Angry,7.000000,6.082763,14.035669,10.198039,38.897301,31.384710,42.210181,14.492000ms,
Happy,8.000000,8.246211,16.031220,12.649111,48.166378,36.138622,44.161560,14.663000ms,
Happy,9.055385,8.062258,19.235384,16.278821,56.400355,50.009999,43.265628,14.792000ms,
Sad,14.000000,11.401754,18.439089,15.811388,53.600373,50.219518,17.750540,14.921000ms,
Sad,13.000000,12.165525,16.278821,14.317821,53.823787,47.074409,17.876257,15.079000ms,
Sad,14.000000,12.165525,17.117243,13.000000,54.405882,47.074409,16.840790,15.217000ms,
Sad,14.000000,12.165525,17.262677,13.928388,53.823787,47.074409,16.878698,15.361000ms,
Doubt,15.000000,13.152946,18.248288,13.601471,52.801515,44.384682,17.307128,15.491000ms,
Doubt,16.031220,14.142136,18.248288,15.231546,52.201533,42.755117,17.782992,15.611000ms,
Doubt,15.000000,14.142136,17.117243,14.764823,52.201533,41.231056,18.333019,15.719000ms,
Doubt,16.000000,13.152946,18.110770,15.231546,51.400389,42.953463,19.228887,15.873000ms,
Doubt,16.000000,14.142136,18.110770,15.231546,51.613952,43.931765,18.810079,16.016000ms,
Doubt,17.000000,14.317821,17.117243,15.231546,51.613952,42.953463,18.305221,16.164000ms,
Doubt,17.000000,13.038405,17.117243,15.231546,50.803543,44.147480,19.762121,16.283000ms,
Doubt,16.000000,14.142136,18.110770,13.601471,52.201533,43.416587,22.776497,16.447000ms,
Doubt,16.000000,14.035669,18.248288,15.231546,52.009614,43.416587,27.877443,16.586000ms,
Doubt,15.000000,12.165525,18.248288,16.155494,52.630789,43.416587,36.039931,16.722000ms,
Doubt,15.000000,12.041595,19.416488,17.088007,52.009614,43.416587,39.574800,16.872000ms,
Doubt,15.000000,12.165525,19.416488,16.763055,53.413481,45.354162,42.372610,16.986000ms,
Doubt,14.000000,12.369317,18.248288,16.763055,53.413481,45.122057,40.299657,17.145000ms,
Doubt,15.033296,12.165525,18.248288,15.811388,51.224994,44.384682,41.435601,17.271000ms,
Doubt,14.035669,12.165525,19.235384,16.155494,54.203321,45.122057,42.342267,17.436000ms,
Doubt,13.000000,12.041595,18.248288,16.155494,53.600373,46.324939,43.384725,17.560000ms,
Doubt,14.035669,14.142136,18.110770,16.155494,53.600373,44.911023,38.998654,17.703000ms,
Doubt,14.000000,13.152946,17.262677,16.492423,52.009614,45.122057,35.944305,17.874000ms,
Doubt,15.000000,13.038405,16.278821,16.492423,53.413481,44.147480,35.973338,18.003000ms,
Doubt,15.000000,12.369317,18.248288,16.155494,52.630789,43.931765,35.476671,18.159000ms,
Doubt,15.033296,11.045361,18.248288,15.811388,52.630789,45.354162,35.409324,18.289000ms,
Doubt,15.033296,14.142136,18.110770,16.763055,52.630789,43.174066,35.938487,18.458000ms,
Doubt,15.132746,14.142136,19.104973,16.155494,52.630789,44.147480,37.433773,18.643000ms,
Doubt,16.031220,14.142136,18.248288,16.763055,51.855569,43.174066,36.402506,18.762000ms,
Doubt,15.033296,13.152946,18.110770,15.811388,52.009614,43.174066,36.806132,18.913000ms,
Doubt,15.033296,14.142136,18.000000,15.811388,51.400389,42.953463,38.131120,19.032000ms,
Happy,14.035669,11.401754,16.124515,13.928388,50.606324,40.792156,40.659840,19.177000ms,
Doubt,14.000000,13.038405,17.029386,15.811388,54.405882,45.705580,40.648665,19.291000ms,
Scared,14.035669,12.165525,18.439089,16.763055,57.688820,51.351728,34.000000,19.438000ms,
