Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Neutral,14.035669,14.142136,18.439089,18.973666,47.201695,41.976184,19.108420,0.137000ms,
Neutral,13.038405,15.000000,18.110770,16.763055,46.615448,38.327536,18.058581,0.282000ms,
Neutral,14.142136,14.035669,18.248288,16.763055,47.201695,40.261644,18.079410,0.414000ms,
Neutral,13.152946,14.000000,19.416488,18.027756,48.826222,41.976184,18.560258,0.562000ms,
